humanAnnotator,TaxonID,class,scientificName,documentType,urls,NOTES,Residential & Commerial Development,Agriculture & Aquaculture,Energy Producting & Mining,Transportation & Service Corridors,Biological Resource Use,Human Intrusions & Disturbance,Natural System Modifcations,Invasive & Other Problematic Species & Genes,Pollution,Geological Events,Climate Change & Severe Weather,Limiting/Intrinsic Population Factors,DISEASE?
Vaughn,937,Insecta,Drosophila sharpi,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3796.pdf,,,,,,,,,,,,,,
Vaughn,7175,Insecta,Stygoparnus comalensis,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/78/63100?link-type=pdf,,,,,,,,,,,,,,
Vaughn,1400,Gastropoda,Pyrgulopsis morrisoni,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/161607,,,,,,,,,,,,,,
Vaughn,6945,Branchiopoda,Branchinecta sandiegonensis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1299.pdf,,,,,,,,,,,,,,
Vaughn,1036,Insecta,Trimerotropis infantilis,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/958.pdf,,,,,,,,,,,,,,
Vaughn,3140,Insecta,Texamaurops reddelli,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Final RP Amendment Travis-Williamson Karst Inverts.pdf,,,,,,,,,,,,,,
Vaughn,9161,Insecta,Oarisma poweshiek,CriticalHabitatDesignationURLs,https://www.govinfo.gov/link/fr/80/59247?link-type=pdf,,,,,,,,,,,,,,
Vaughn,7900,Euchelicerata,Cicurina venii,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3916.pdf,,,,,,,,,,,,,,
Vaughn,6999,Bivalvia,Theliderma intermedia,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1724.pdf,,,,,,,,,,,,,,
Vaughn,4827,Gastropoda,Athearnia anthonyi,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/970813.pdf,,,,,,,,,,,,,,
Vaughn,1392,Bivalvia,Parvaspina steinstansana,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/TarRiverSpinymussel Recovery Plan Amendment.pdf,,,,,,,,,,,,,,
Vaughn,8977,Gastropoda,Pyrgulopsis anguina,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/189457,,,,,,,,,,,,,,
Vaughn,3804,Insecta,Rhadine infernalis,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Final 2001 Bexar Co Invertebrates Rec Plan_1.pdf,,,,,,,,,,,,,,
Vaughn,6929,Insecta,Speyeria zerene myrtleae,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/3245.pdf,,,,,,,,,,,,,,
Vaughn,3285,Insecta,Euchloe ausonides insulanus,RecoveryPlanURLs,https://ecos.fws.gov/docs/recovery_plan/Island Marble Butterfly Recovery Plan 20230823.pdf,,,,,,,,,,,,,,
Vaughn,10403,Insecta,Bombus terricola,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/164401,,,,,,,,,,,,,,
Vaughn,4294,Branchiopoda,Branchinecta longiantenna,ReviewURLs,https://ecosphere-documents-production-public.s3.amazonaws.com/sams/public_docs/species_nonpublish/1116.pdf,,,,,,,,,,,,,,
Vaughn,2997,Gastropoda,Pyrgulopsis pisteri,SpeciesStatusAssessmentURLs,https://ecos.fws.gov/ServCat/DownloadFile/204770,,,,,,,,,,,,,,
